num_expediente,fecha,hora,localizacion,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S000056,2025-01-01,00:49:00,CALL. LOPEZ DE HOYOS / CALL. ROS DE OLANO,5,CHAMARTÍN,Colisión fronto-lateral,Despejado,Ciclomotor,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,442966,4477385,false,false
2025S000056,2025-01-01,00:49:00,CALL. LOPEZ DE HOYOS / CALL. ROS DE OLANO,5,CHAMARTÍN,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,14,Sin asistencia sanitaria,442966,4477385,false,false
2025S000056,2025-01-01,00:49:00,CALL. LOPEZ DE HOYOS / CALL. ROS DE OLANO,5,CHAMARTÍN,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 40 a 44 años,Mujer,14,Sin asistencia sanitaria,442966,4477385,false,false
2025S000057,2025-01-01,02:20:00,GTA. RIO ZANCARA / CALL. ARROYO DE POZUELO,9,MONCLOA-ARAVACA,Colisión lateral,Despejado,Turismo,Conductor,De 21 a 24 años,Hombre,,Desconocido,433911,4478290,false,false
2025S000057,2025-01-01,02:20:00,GTA. RIO ZANCARA / CALL. ARROYO DE POZUELO,9,MONCLOA-ARAVACA,Colisión lateral,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,,Desconocido,433911,4478290,false,false
2025S000058,2025-01-01,03:18:00,CALL. GALLUR,10,LATINA,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 18 a 20 años,Hombre,14,Sin asistencia sanitaria,437019,4471984,true,false
2025S000060,2025-01-01,04:00:00,CALL. LUCHANA / CALL. EGUILAZ,7,CHAMBERÍ,Colisión lateral,Despejado,Maquinaria de obras,Conductor,De 55 a 59 años,Hombre,,Desconocido,440567,4475699,false,false
2025S000060,2025-01-01,04:00:00,CALL. LUCHANA / CALL. EGUILAZ,7,CHAMBERÍ,Colisión lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,,Desconocido,440567,4475699,false,false
2025S000061,2025-01-01,03:30:00,AVDA. PABLO IGLESIAS,6,TETUÁN,Colisión fronto-lateral,,Turismo,Conductor,De 50 a 54 años,Hombre,,Desconocido,439772,4477959,false,false
2025S000061,2025-01-01,03:30:00,AVDA. PABLO IGLESIAS,6,TETUÁN,Colisión fronto-lateral,,Turismo,Conductor,Desconocido,Desconocido,,Desconocido,439772,4477959,false,false
2025S000063,2025-01-01,06:58:00,CALL. PRINCESA,1,CENTRO,Alcance,Despejado,Motocicleta hasta 125cc,Conductor,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,439427,4475473,true,false
2025S000063,2025-01-01,06:58:00,CALL. PRINCESA,1,CENTRO,Alcance,Despejado,Motocicleta hasta 125cc,Pasajero,De 35 a 39 años,Mujer,,Desconocido,439427,4475473,false,false
2025S000063,2025-01-01,06:58:00,CALL. PRINCESA,1,CENTRO,Alcance,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,14,Sin asistencia sanitaria,439427,4475473,false,false
2025S000064,2025-01-01,07:10:00,PASEO. ARTILLEROS / CALL. CALAHORRA,19,VICÁLVARO,Choque contra obstáculo fijo,,Turismo,Conductor,De 30 a 34 años,Mujer,,Desconocido,448291,4473199,true,false
