fecha,hora,identificador,peatones,Número_distrito,distrito,direccion,observaciones_direccion,latitude,longitude
2024-01-01,00:00:00,PERM_PEA01_PM01,910,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,01:00:00,PERM_PEA01_PM01,1539,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,02:00:00,PERM_PEA01_PM01,582,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,03:00:00,PERM_PEA01_PM01,257,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,04:00:00,PERM_PEA01_PM01,107,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,05:00:00,PERM_PEA01_PM01,190,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,06:00:00,PERM_PEA01_PM01,409,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,07:00:00,PERM_PEA01_PM01,356,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,08:00:00,PERM_PEA01_PM01,239,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,09:00:00,PERM_PEA01_PM01,302,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,10:00:00,PERM_PEA01_PM01,901,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,11:00:00,PERM_PEA01_PM01,1982,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,12:00:00,PERM_PEA01_PM01,2408,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,13:00:00,PERM_PEA01_PM01,2720,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,14:00:00,PERM_PEA01_PM01,2342,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,15:00:00,PERM_PEA01_PM01,2261,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,16:00:00,PERM_PEA01_PM01,2284,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,17:00:00,PERM_PEA01_PM01,1665,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,18:00:00,PERM_PEA01_PM01,1780,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,19:00:00,PERM_PEA01_PM01,1780,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,20:00:00,PERM_PEA01_PM01,2166,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-01-01,21:00:00,PERM_PEA01_PM01,2122,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
