Archive,PedObserv_ID,Location_ID,DateTime,Direction_1,Direction_2,Total_of_Directions,Sensor_Name
pedestrian-counting-system-monthly-counts-per-hour.zip,63420241221,63,2024-12-21T04:00:00,3,27,30,Bou231_T
pedestrian-counting-system-monthly-counts-per-hour.zip,77820241211,77,2024-12-11T08:00:00,122,159,281,HarEsP_T
pedestrian-counting-system-monthly-counts-per-hour.zip,14320241222,14,2024-12-22T03:00:00,52,1,53,SanBri_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1791820241222,179,2024-12-22T18:00:00,63,47,110,Pow61_T
pedestrian-counting-system-monthly-counts-per-hour.zip,132820241210,132,2024-12-10T08:00:00,139,108,247,King335_T
pedestrian-counting-system-monthly-counts-per-hour.zip,27520241229,27,2024-12-29T05:00:00,10,2,12,Vic_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1411320241203,141,2024-12-03T13:00:00,154,109,263,474Fl_T
pedestrian-counting-system-monthly-counts-per-hour.zip,302320241202,30,2024-12-02T23:00:00,80,88,168,Lon189_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1372220241225,137,2024-12-25T22:00:00,3,1,4,BouHbr2353_T
pedestrian-counting-system-monthly-counts-per-hour.zip,121620241219,12,2024-12-19T16:00:00,120,71,191,NewQ_T
pedestrian-counting-system-monthly-counts-per-hour.zip,121720241225,12,2024-12-25T17:00:00,116,77,193,NewQ_T
pedestrian-counting-system-monthly-counts-per-hour.zip,2620241230,2,2024-12-30T06:00:00,12,14,26,Bou283_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1641420241223,164,2024-12-23T14:00:00,102,62,164,Lat526_T_1
pedestrian-counting-system-monthly-counts-per-hour.zip,14720241219,14,2024-12-19T07:00:00,178,201,379,SanBri_T
pedestrian-counting-system-monthly-counts-per-hour.zip,691620241225,69,2024-12-25T16:00:00,54,33,87,FLDegC_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1641220241212,164,2024-12-12T12:00:00,162,92,254,Lat526_T_1
pedestrian-counting-system-monthly-counts-per-hour.zip,701520241211,70,2024-12-11T15:00:00,155,119,274,Errol20_T
pedestrian-counting-system-monthly-counts-per-hour.zip,39020241213,39,2024-12-13T00:00:00,3,2,5,AlfPl_T
pedestrian-counting-system-monthly-counts-per-hour.zip,162320241210,162,2024-12-10T03:00:00,23,13,36,Eli489_T
pedestrian-counting-system-monthly-counts-per-hour.zip,18720241207,18,2024-12-07T07:00:00,11,10,21,Col12_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1381120241229,138,2024-12-29T11:00:00,6,19,25,EntPark1671_T
pedestrian-counting-system-monthly-counts-per-hour.zip,491820241206,49,2024-12-06T18:00:00,169,178,347,Eli501_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1611920241211,161,2024-12-11T19:00:00,61,71,132,BirArt1109_T
pedestrian-counting-system-monthly-counts-per-hour.zip,431620241204,43,2024-12-04T16:00:00,96,106,202,UM2_T
pedestrian-counting-system-monthly-counts-per-hour.zip,68920241224,68,2024-12-24T09:00:00,177,172,349,FLDegN_T
pedestrian-counting-system-monthly-counts-per-hour.zip,111920241203,11,2024-12-03T19:00:00,106,94,200,WatCit_T
pedestrian-counting-system-monthly-counts-per-hour.zip,631420241202,63,2024-12-02T14:00:00,328,402,730,Bou231_T
pedestrian-counting-system-monthly-counts-per-hour.zip,25520241205,25,2024-12-05T05:00:00,30,28,58,MCEC_T
pedestrian-counting-system-monthly-counts-per-hour.zip,442120241220,44,2024-12-20T21:00:00,3,12,15,UM3_T
pedestrian-counting-system-monthly-counts-per-hour.zip,14720241215,14,2024-12-15T07:00:00,88,28,116,SanBri_T
pedestrian-counting-system-monthly-counts-per-hour.zip,282020241231,28,2024-12-31T20:00:00,292,3885,4177,VAC_T
pedestrian-counting-system-monthly-counts-per-hour.zip,37820241201,37,2024-12-01T08:00:00,24,19,43,Lyg260_T
